Date,Open,High,Low,Close,Adj Close,Volume
2022-08-18,34.910000,35.430000,34.240002,34.639999,34.639999,90234200
2022-08-19,35.630001,36.919998,35.419998,36.660000,36.660000,107340500
2022-08-22,38.189999,39.860001,38.090000,39.540001,39.540001,105490700
2022-08-23,39.689999,39.980000,38.580002,39.680000,39.680000,103893500
2022-08-24,39.869999,40.099998,38.630001,39.340000,39.340000,80403000
2022-08-25,38.680000,39.090000,37.279999,37.299999,37.299999,86610300
2022-08-26,37.389999,41.910000,36.959999,41.860001,41.860001,166378500
2022-08-29,43.080002,43.590000,42.000000,43.119999,43.119999,133071000
2022-08-30,42.419998,45.689999,42.160000,44.529999,44.529999,155960200
2022-08-31,43.240002,45.419998,42.849998,45.389999,45.389999,135657700
2022-09-01,46.580002,48.279999,45.160000,45.320000,45.320000,166970000
2022-09-02,44.009998,48.040001,43.380001,47.230000,47.230000,177677400
2022-09-06,47.080002,49.380001,46.610001,48.290001,48.290001,147168100
2022-09-07,48.110001,48.209999,44.889999,45.419998,45.419998,122115100
2022-09-08,46.380001,47.000000,44.099998,44.689999,44.689999,151807400
2022-09-09,43.709999,43.709999,41.570000,41.840000,41.840000,135954500
2022-09-12,41.209999,41.349998,40.169998,40.310001,40.310001,119586400
2022-09-13,43.810001,47.310001,43.320000,46.959999,46.959999,180723900
2022-09-14,46.389999,47.250000,45.389999,45.840000,45.840000,145586500
2022-09-15,46.779999,48.900002,45.619999,48.139999,48.139999,166258500
2022-09-16,49.869999,50.889999,48.840000,49.119999,49.119999,176984200
2022-09-19,50.410000,50.459999,47.830002,47.919998,47.919998,121245600
2022-09-20,49.169998,50.230000,47.919998,49.080002,49.080002,119153500
2022-09-21,48.630001,51.790001,46.410000,51.779999,51.779999,180706000
2022-09-22,52.630001,54.349998,52.040001,53.680000,53.680000,151907900
2022-09-23,55.130001,58.310001,54.959999,56.259998,56.259998,173780700
2022-09-26,56.630001,57.500000,53.860001,56.970001,56.970001,163155400
2022-09-27,54.840000,58.439999,53.360001,56.930000,56.930000,150329200
2022-09-28,56.970001,57.939999,52.770000,53.680000,53.680000,135373000
2022-09-29,55.959999,60.020000,55.740002,58.150002,58.150002,161040500
2022-09-30,58.830002,61.349998,56.160000,61.320000,61.320000,159115700
2022-10-03,60.000000,61.090000,55.840000,56.970001,56.970001,126306100
2022-10-04,53.529999,53.549999,51.160000,51.660000,51.660000,137960700
2022-10-05,53.720001,55.230000,50.680000,51.610001,51.610001,138424200
2022-10-06,52.279999,53.150002,50.540001,52.970001,52.970001,134207100
2022-10-07,55.700001,59.820000,55.610001,59.070000,59.070000,155355400
2022-10-10,58.900002,62.630001,58.660000,60.930000,60.930000,141755800
2022-10-11,62.000000,64.500000,59.990002,63.200001,63.200001,157347100
2022-10-12,62.889999,63.939999,61.470001,63.349998,63.349998,128608100
2022-10-13,68.879997,69.550003,57.990002,59.110001,59.110001,225667800
2022-10-14,57.470001,64.739998,57.049999,64.379997,64.379997,169766500
2022-10-17,59.790001,59.840000,57.299999,58.000000,58.000000,140391500
2022-10-18,53.310001,58.330002,52.869999,56.590000,56.590000,165182200
2022-10-19,57.549999,58.709999,55.209999,57.160000,57.160000,144625400
2022-10-20,57.840000,58.869999,54.500000,58.189999,58.189999,146161900
2022-10-21,58.860001,59.630001,53.720001,54.080002,54.080002,166360300
2022-10-24,53.910000,56.080002,51.700001,52.240002,52.240002,146097500
2022-10-25,51.740002,51.740002,48.840000,49.110001,49.110001,120883500
2022-10-26,52.049999,52.560001,49.180000,52.320000,52.320000,161657800
2022-10-27,53.000000,55.500000,52.150002,55.200001,55.200001,136961600
2022-10-28,55.630001,55.689999,49.849998,50.180000,50.180000,147364100
2022-10-31,51.380001,52.939999,50.939999,51.900002,51.900002,115468100
2022-11-01,49.939999,53.709999,49.599998,53.490002,53.490002,118816500
2022-11-02,53.540001,59.060001,51.700001,59.040001,59.040001,192640900
2022-11-03,60.849998,62.810001,59.860001,62.450001,62.450001,139440200
2022-11-04,58.860001,63.570000,57.509998,59.549999,59.549999,173145300
2022-11-07,58.840000,60.330002,57.220001,57.660000,57.660000,97900700
2022-11-08,56.619999,58.980000,54.209999,56.400002,56.400002,124572300
2022-11-09,57.590000,60.540001,57.070000,60.369999,60.369999,123050800
2022-11-10,51.630001,53.110001,46.799999,47.080002,47.080002,181317400
2022-11-11,47.060001,47.740002,44.020000,44.369999,44.369999,139910300
2022-11-14,45.340000,46.000000,43.779999,45.520000,45.520000,126849800
2022-11-15,42.279999,45.290001,41.790001,43.669998,43.669998,186506000
2022-11-16,44.570000,45.849998,44.419998,45.450001,45.450001,129948700
2022-11-17,47.669998,47.750000,45.090000,45.790001,45.790001,132851800
2022-11-18,44.349998,47.029999,44.299999,45.830002,45.830002,111228200
2022-11-21,46.549999,47.669998,45.950001,47.240002,47.240002,98061300
2022-11-22,46.910000,48.000000,45.160000,45.320000,45.320000,80033700
2022-11-23,45.270000,45.369999,43.619999,43.939999,43.939999,99917300
2022-11-25,44.689999,45.049999,44.369999,44.830002,44.830002,37295200
2022-11-28,45.810001,47.259998,44.820000,46.830002,46.830002,84858800
2022-11-29,46.720001,48.610001,46.520000,47.919998,47.919998,93854000
2022-11-30,47.790001,48.230000,41.320000,41.380001,41.380001,150799900
2022-12-01,41.259998,42.439999,40.470001,41.250000,41.250000,93316600
2022-12-02,43.430000,43.529999,41.369999,41.790001,41.790001,120744100
2022-12-05,42.689999,44.520000,42.139999,43.849998,43.849998,95946400
2022-12-06,43.980000,47.290001,43.900002,46.580002,46.580002,108083200
2022-12-07,47.270000,48.090000,46.200001,47.240002,47.240002,132229200
2022-12-08,46.570000,47.650002,45.099998,45.599998,45.599998,111469400
2022-12-09,46.119999,46.730000,44.759998,46.490002,46.490002,123378100
2022-12-12,46.410000,46.950001,44.730000,44.770000,44.770000,89012400
2022-12-13,39.560001,44.639999,39.480000,43.340000,43.340000,179239600
